code2,名称,总市值
x688178,万德斯,2482787000
x002659,凯文教育,2482863600
x002870,香山股份,2483434800
x002638,*ST勤上,2485158500
x300796,贝斯美,2485998000
x300823,建科机械,2487736200
x000416,民生控股,2489158600
x603889,新澳股份,2492204900
x600860,*ST京城,2492900000
x600303,曙光股份,2492979500
x600785,新华百货,2493225600
x600113,浙江东日,2493272800
x603668,天马科技,2493818200
x000159,国际实业,2499567200
x300023,宝德股份,2500404600
x600193,ST创兴,2501193200
x600513,联环药业,2502636300
x002593,日上集团,2502962700
x300838,浙江力诺,2504565800
x603909,合诚股份,2506472500
x002802,洪汇新材,2508221500
x000020,深华发Ａ,2508808500
x300499,高澜股份,2510261200
x300061,旗天科技,2511588100
x603399,吉翔股份,2511776400
x000880,潍柴重机,2512514600
x002981,朝阳科技,2514240000
x300093,金刚玻璃,2518560000
x300242,佳云科技,2519184200
x300670,大烨智能,2523964900
x603121,华培动力,2527200000
x600212,江泉实业,2527784200
x600890,中房股份,2536873800
x002855,捷荣技术,2537051500
x002486,嘉麟杰,2537600000
x002116,中国海诚,2539183900
x000565,渝三峡Ａ,2540850400
x605298,必得科技,2541240000
x603657,春光科技,2541504000
x300746,汉嘉设计,2541813600
x300778,新城市,2543000000
x688028,沃尔德,2544000000
x000150,宜华健康,2545322900
x603398,邦宝益智,2545928300
x300218,安利股份,2549597300
x600130,波导股份,2549760000
x300056,中创环保,2551946700
x600379,宝光股份,2552458100
x300809,华辰装备,2553088400
x600969,郴电国际,2553348300
x688555,泽达易盛,2553970300
x600353,旭光电子,2560921200
x600361,华联综超,2563360500
x300886,华业香料,2563545000
x002502,*ST鼎龙,2565404000
x300839,博汇股份,2568800000
x603085,天成自控,2569364500
x002122,*ST天马,2571716100
x002457,青龙管业,2572738600
x300097,智云股份,2573863000
x600576,祥源文化,2576714000
x300445,康斯特,2577086800
x603817,海峡环保,2578531100
x300656,民德电子,2579841000
x688092,N爱科,2579897500
x300389,艾比森,2580662900
x002296,辉煌科技,2583422100
x002908,德生科技,2584227400
x300897,山科智能,2587400000
x300417,南华仪器,2588088200
x603607,京华激光,2592063900
x688557,兰剑智能,2592865600
x002780,三夫户外,2593376600
x688360,德马科技,2594287400
x002211,宏达新材,2594854700
x002403,爱仕达,2595877100
x300472,新元科技,2596889700
x600470,*ST六化,2597568000
x002256,*ST兆新,2597728400
x300112,万讯自控,2600305800
x300421,力星股份,2600801700
x600692,亚通股份,2603054100
x002536,飞龙股份,2603701400
x688068,热景生物,2604160800
x600730,中国高科,2604752600
x300706,阿石创,2605075200
x003033,征和工业,2606190000
x603133,碳元科技,2607007000
x600698,ST天雁,2607804600
